SUBJECT,TEXT,OSPAN,SSPAN,COM1,COM2,COM3,INT1,INT2,INT3,FAM1,FAM2,FAM3,VOL,INV
24,Wind,0.846502976,0.677380952,3,2,1,1,1,1,0,1,1,0,0.5
24,Spek,0.846502976,0.677380952,3,3,3,3,3,2,1,2,1,0,0.222222222
25,Netz,0.713935574,0.526031746,2,1,3,2,2,2,1,0,0,0,0.2
25,Wind,0.713935574,0.526031746,1,0,0,1,1,0,1,0,0,0.333333333,0.333333333
25,Spek,0.713935574,0.526031746,2,2,3,2,1,2,0,0,0,0,0.4
26,Netz,0.808791209,0.575595238,0,0,0,2,1,1,2,3,1,0.1,0.1
26,Wind,0.808791209,0.575595238,1,2,0,0,1,1,1,1,1,0.2,0.4
26,Spek,0.808791209,0.575595238,0,2,1,1,1,1,2,2,2,0.181818182,0.363636364
27,Netz,0.915100251,0.886666667,3,2,2,2,2,2,0,0,2,0,0.25
27,Wind,0.915100251,0.886666667,3,1,1,2,2,2,1,1,2,0,0.5
27,Spek,0.915100251,0.886666667,2,3,2,1,1,1,1,1,2,0,0.25
28,Netz,0.641125541,0.419387755,2,1,3,3,2,2,0,0,0,0,0.333333333
28,Wind,0.641125541,0.419387755,1,1,1,0,1,1,0,0,0,0,0.428571429
28,Spek,0.641125541,0.419387755,1,1,3,3,1,0,0,0,0,0,0.571428571
30,Netz,0.740196078,0.711484594,2,2,2,3,2,2,0,0,1,0.285714286,0.142857143
30,Wind,0.740196078,0.711484594,1,1,3,2,2,2,0,0,0,0,0
30,Spek,0.740196078,0.711484594,3,3,3,3,1,2,3,3,3,0,0
31,Netz,0.76521164,0.743386243,1,2,2,3,2,2,2,1,1,0,0.25
31,Wind,0.76521164,0.743386243,1,3,0,1,1,0,0,0,1,0,0.666666667
31,Spek,0.76521164,0.743386243,2,1,1,2,2,2,3,2,2,0,0.25
32,Netz,0.953125,0.594940476,2,3,2,2,2,2,1,1,1,0,0.333333333
32,Wind,0.953125,0.594940476,2,2,2,2,2,2,1,2,1,0.142857143,0.285714286
32,Spek,0.953125,0.594940476,2,2,3,2,1,2,1,2,2,0,0.428571429
33,Netz,0.612632275,0.807440476,3,2,2,2,2,2,0,2,1,0,0.333333333
33,Wind,0.612632275,0.807440476,1,0,3,3,2,2,1,3,1,0,0.166666667
33,Spek,0.612632275,0.807440476,3,2,2,1,1,2,1,1,1,0,0.5
34,Netz,0.592619048,0.592857143,2,1,1,2,1,1,3,3,2,0.25,0.25
34,Wind,0.592619048,0.592857143,1,1,1,3,2,2,0,2,1,0,0
34,Spek,0.592619048,0.592857143,1,2,3,2,1,2,0,1,0,0,0
35,Netz,0.750630252,0.482417582,2,2,1,3,2,3,0,2,1,0.2,0.2
35,Wind,0.750630252,0.482417582,1,1,1,3,3,2,3,3,3,0,0
35,Spek,0.750630252,0.482417582,3,1,3,1,1,1,1,2,1,0,0.714285714
36,Netz,0.551984127,0.241071429,1,2,1,2,1,2,0,2,1,0.5,0.333333333
36,Wind,0.551984127,0.241071429,0,2,1,1,3,1,3,3,3,0,0.333333333
36,Spek,0.551984127,0.241071429,0,3,2,1,2,1,1,3,2,0.2,0.2
37,Netz,0.407563025,0.233893557,3,2,3,3,3,3,0,1,0,0,0
37,Wind,0.407563025,0.233893557,1,0,1,0,0,0,0,0,0,0,0.8
37,Spek,0.407563025,0.233893557,1,3,3,3,2,3,2,2,1,0,0
38,Netz,0.761666667,0.561152882,3,3,3,1,2,1,1,2,3,0.25,0
38,Wind,0.761666667,0.561152882,3,3,2,3,3,2,3,2,2,0,0
38,Spek,0.761666667,0.561152882,2,1,3,2,3,2,3,2,2,0,0.5
39,Netz,0.748934837,0.705627706,3,2,3,3,3,2,2,3,3,0,0
39,Wind,0.748934837,0.705627706,2,0,1,2,1,1,1,1,0,0.25,0
39,Spek,0.748934837,0.705627706,2,2,3,2,1,1,1,1,1,0.25,0
40,Netz,0.763655462,0.666798942,1,1,2,2,2,2,2,2,1,0,0.6
40,Wind,0.763655462,0.666798942,1,2,1,0,0,0,1,1,1,0,0.285714286
40,Spek,0.763655462,0.666798942,2,2,2,2,2,2,1,2,1,0,0.4
41,Netz,0.719419643,0.667410714,1,1,0,2,1,2,2,1,2,0,1
41,Wind,0.719419643,0.667410714,0,2,2,2,1,2,1,1,2,0,1
41,Spek,0.719419643,0.667410714,0,2,1,3,3,2,2,2,2,0,1
42,Netz,0.989010989,0.563888889,3,3,2,3,3,2,3,3,3,0,0.5
42,Wind,0.989010989,0.563888889,0,0,3,1,1,3,1,1,1,0,0
42,Spek,0.989010989,0.563888889,1,3,3,3,2,2,1,1,0,0.333333333,0.166666667
44,Netz,0.66765873,0.496078431,2,2,2,3,2,2,2,2,1,0,0.25
44,Wind,0.66765873,0.496078431,2,1,1,1,1,1,3,2,2,0,0.4
44,Spek,0.66765873,0.496078431,2,3,3,1,1,1,1,1,1,0.2,0.4
45,Netz,0.944444444,0.487114846,2,2,3,1,2,1,1,2,2,0.285714286,0.285714286
45,Wind,0.944444444,0.487114846,1,1,1,2,3,2,0,1,2,0,0.333333333
45,Spek,0.944444444,0.487114846,1,1,2,2,3,1,1,2,1,0.166666667,0.166666667
46,Netz,0.773214286,0.706878307,2,2,3,3,3,2,2,2,1,0,0
46,Wind,0.773214286,0.706878307,0,0,1,1,1,2,3,2,3,0.25,0.25
46,Spek,0.773214286,0.706878307,1,1,1,1,1,0,1,1,1,0,0.4
47,Netz,0.885964912,0.651098901,3,3,2,3,3,3,0,2,0,0,0
47,Wind,0.885964912,0.651098901,2,2,2,3,3,3,0,2,1,0,0
47,Spek,0.885964912,0.651098901,3,2,3,2,0,2,1,3,1,0,0
48,Netz,0.659642857,0.466836735,2,1,2,3,3,3,1,1,1,0,0
48,Wind,0.659642857,0.466836735,2,1,0,0,0,0,2,2,2,0.2,0.8
48,Spek,0.659642857,0.466836735,3,0,3,1,2,1,3,3,2,0.25,0.25
50,Netz,0.808473389,0.839285714,3,2,2,1,1,1,1,2,1,0.25,0.25
50,Wind,0.808473389,0.839285714,2,1,2,1,1,1,2,2,2,0.5,0.5
50,Spek,0.808473389,0.839285714,1,2,2,2,1,1,2,2,2,0,0.5
51,Netz,0.698109244,0.4267507,2,2,2,3,3,2,3,3,2,0.333333333,0
51,Wind,0.698109244,0.4267507,1,1,1,2,1,2,2,3,2,0.333333333,0
51,Spek,0.698109244,0.4267507,2,3,2,1,1,1,1,1,1,0,0.666666667
52,Netz,0.626445578,0.696153846,1,1,2,3,3,2,3,3,2,0,0
52,Wind,0.626445578,0.696153846,2,2,2,2,1,1,1,1,0,0,0
52,Spek,0.626445578,0.696153846,2,2,1,2,2,2,2,2,2,0.25,0
53,Netz,0.60914787,0.700140056,3,1,3,2,1,2,0,0,0,0.25,0
53,Wind,0.60914787,0.700140056,1,1,2,1,0,1,1,0,1,0.25,0.25
53,Spek,0.60914787,0.700140056,2,0,3,1,0,0,2,1,2,0,0.5
54,Netz,0.80766369,0.582683983,2,2,2,2,2,1,0,2,1,0,0.4
54,Wind,0.80766369,0.582683983,3,1,2,2,2,2,1,2,1,0.2,0.4
54,Spek,0.80766369,0.582683983,2,2,2,1,1,1,0,1,0,0,0.8
55,Netz,0.9921875,0.755952381,3,3,3,2,2,1,1,2,2,0,0
55,Wind,0.9921875,0.755952381,2,3,3,3,2,3,1,2,1,0,0.25
55,Spek,0.9921875,0.755952381,2,3,3,3,3,3,3,3,3,0,0
56,Netz,0.782843137,0.603896104,3,3,3,2,3,3,1,2,1,0,0.285714286
56,Wind,0.782843137,0.603896104,2,1,1,0,0,0,0,0,0,0.428571429,0
56,Spek,0.782843137,0.603896104,3,1,3,1,1,1,0,0,0,0,0
57,Netz,0.48622449,0.513015873,1,2,2,3,3,3,3,2,2,0,0.25
57,Wind,0.48622449,0.513015873,1,1,1,1,1,1,1,1,1,0,1
57,Spek,0.48622449,0.513015873,2,1,1,1,1,0,0,1,1,0.4,0.6
58,Netz,0.88968254,0.688095238,3,1,1,1,1,1,1,1,0,0.333333333,0.333333333
58,Wind,0.88968254,0.688095238,3,2,0,3,3,2,3,3,3,0,0
58,Spek,0.88968254,0.688095238,2,2,3,1,0,0,0,1,1,0,0.25
59,Netz,0.728452381,0.567748918,3,2,1,1,2,1,2,2,2,0,0.5
59,Wind,0.728452381,0.567748918,0,2,1,1,1,1,1,1,1,1,0
59,Spek,0.728452381,0.567748918,3,0,1,1,1,1,2,2,2,0,0.5
60,Netz,0.855576441,0.800925926,3,3,3,3,3,3,2,3,2,0,0.25
60,Wind,0.855576441,0.800925926,2,1,1,2,1,1,1,1,1,0.2,0.2
60,Spek,0.855576441,0.800925926,3,3,2,3,2,2,1,1,1,0,0.4
61,Netz,0.696103896,0.603015873,2,2,3,2,2,2,1,2,1,0.2,0.2
61,Wind,0.696103896,0.603015873,2,1,2,2,1,1,1,2,1,0.333333333,0
61,Spek,0.696103896,0.603015873,2,1,3,2,2,2,1,1,1,0.4,0
62,Netz,0.686904762,0.65,0,1,1,1,1,1,2,1,2,0,0.5
62,Wind,0.686904762,0.65,1,0,0,1,1,1,1,1,2,0.666666667,0.333333333
62,Spek,0.686904762,0.65,2,1,1,3,1,1,2,1,3,0,0.2
63,Netz,0.522802198,0.444805195,2,2,3,2,2,2,1,2,1,0,0
63,Wind,0.522802198,0.444805195,1,1,0,0,0,0,0,0,0,0.333333333,0.333333333
63,Spek,0.522802198,0.444805195,2,2,0,1,1,1,1,1,1,0,0.666666667
64,Netz,0.849345238,0.803571429,2,2,2,3,2,2,3,3,3,0,0.333333333
64,Wind,0.849345238,0.803571429,3,2,1,2,2,2,1,1,0,0,0.2
64,Spek,0.849345238,0.803571429,3,2,0,1,1,1,1,1,1,0,0.6
65,Netz,0.082291667,0.411688312,3,3,2,1,1,1,2,2,1,0.142857143,0.285714286
65,Wind,0.082291667,0.411688312,0,0,0,0,0,0,0,0,1,1,0
65,Spek,0.082291667,0.411688312,2,0,1,0,2,0,0,0,0,0.5,0.5
66,Netz,0.5203125,0.316117216,1,0,2,2,2,2,2,3,2,0,1
66,Wind,0.5203125,0.316117216,1,3,1,1,2,1,0,2,1,0,0.5
66,Spek,0.5203125,0.316117216,1,1,0,2,2,2,1,1,0,0,0.333333333
67,Netz,0.661458333,0.504761905,2,2,1,2,1,1,2,2,1,0.285714286,0
67,Wind,0.661458333,0.504761905,0,0,0,1,1,1,0,0,0,0.2,0.4
67,Spek,0.661458333,0.504761905,2,0,2,0,0,0,0,0,1,0,0.6
68,Netz,0.178571429,0.535714286,2,1,1,2,2,3,0,1,2,0,0.5
68,Wind,0.178571429,0.535714286,2,1,0,3,2,2,2,3,3,0,0
68,Spek,0.178571429,0.535714286,2,1,2,1,1,3,3,3,3,0.333333333,0.333333333
69,Netz,0.752777778,0.360238095,2,2,2,1,1,1,0,1,1,0.25,0.75
69,Wind,0.752777778,0.360238095,0,0,1,1,1,1,1,1,1,0,0.6
69,Spek,0.752777778,0.360238095,2,1,0,2,2,2,2,2,2,0,0.666666667
70,Netz,0.967105263,0.710119048,3,3,3,1,1,0,0,0,0,0,0
70,Wind,0.967105263,0.710119048,1,1,2,2,3,3,3,3,3,0,0
70,Spek,0.967105263,0.710119048,3,3,3,2,2,1,3,3,2,0,0
71,Netz,0.919444444,0.883928571,3,3,2,3,2,3,1,2,2,0,0.25
71,Wind,0.919444444,0.883928571,1,1,1,0,0,0,1,1,1,0.5,0
71,Spek,0.919444444,0.883928571,2,2,1,1,0,0,0,1,0,0.25,0.5
72,Netz,0.666666667,0.296703297,2,1,3,3,2,2,1,1,1,0,0
72,Wind,0.666666667,0.296703297,2,1,2,2,2,2,1,1,1,0,0.666666667
72,Spek,0.666666667,0.296703297,2,2,3,1,1,0,2,2,2,0.666666667,0.333333333
73,Netz,0.737656642,0.543809524,2,2,2,3,3,1,2,2,2,0.285714286,0.428571429
73,Wind,0.737656642,0.543809524,3,2,3,2,1,1,0,1,0,0.25,0.375
73,Spek,0.737656642,0.543809524,3,2,3,1,1,1,0,0,0,0.285714286,0.142857143
74,Netz,0.743809524,0.634920635,1,2,2,2,2,2,2,2,1,0,0.166666667
74,Wind,0.743809524,0.634920635,2,0,1,0,0,0,1,1,2,0.5,0.5
74,Spek,0.743809524,0.634920635,2,1,3,3,3,2,3,3,3,0.2,0.2
75,Netz,0.892633929,0.472321429,3,2,2,2,3,2,1,3,2,0,0.25
75,Wind,0.892633929,0.472321429,0,0,1,0,0,0,0,0,0,0.666666667,0
75,Spek,0.892633929,0.472321429,2,1,3,2,1,1,2,2,2,0,0
76,Netz,0.885119048,0.720168067,1,2,3,3,3,2,0,2,1,0.25,0.5
76,Wind,0.885119048,0.720168067,2,1,2,3,0,3,2,3,2,0.142857143,0.142857143
76,Spek,0.885119048,0.720168067,2,3,3,1,1,2,0,3,0,0.4,0.4
77,Netz,0.685154062,0.457936508,3,3,2,1,2,1,2,2,2,0,0.333333333
77,Wind,0.685154062,0.457936508,3,1,3,2,2,2,1,1,1,0,0
77,Spek,0.685154062,0.457936508,2,2,3,2,2,2,2,2,2,0,0
78,Netz,0.745323129,0.766349206,3,2,2,2,2,2,1,2,1,0,0.25
78,Wind,0.745323129,0.766349206,1,0,3,3,3,2,2,2,2,0,0.333333333
78,Spek,0.745323129,0.766349206,1,0,3,1,1,0,1,2,1,0,0.4
80,Netz,0.798809524,0.617857143,2,3,2,2,2,2,1,2,1,0.142857143,0
80,Wind,0.798809524,0.617857143,2,2,2,1,1,1,2,2,2,0,0
80,Spek,0.798809524,0.617857143,1,0,2,0,0,0,0,0,0,0.4,0.4
81,Netz,0.328641457,0.329017857,2,2,2,2,2,1,0,1,0,0,0.333333333
81,Wind,0.328641457,0.329017857,2,2,3,3,3,3,3,3,3,0,0
81,Spek,0.328641457,0.329017857,2,1,2,2,1,2,1,1,1,0,0.333333333
83,Netz,0.951754386,0.626636905,3,2,2,2,3,2,2,3,2,0.5,0.333333333
83,Wind,0.951754386,0.626636905,1,1,1,1,1,0,0,1,0,0.142857143,0.714285714
83,Spek,0.951754386,0.626636905,3,1,3,1,1,1,1,2,1,0.2,0.4
84,Netz,0.659404762,999999,2,1,2,2,2,2,2,2,2,0,0.666666667
84,Wind,0.659404762,999999,0,1,1,1,0,0,2,1,2,1,0
84,Spek,0.659404762,999999,2,1,2,1,1,1,1,2,1,0,0.75
85,Netz,0.840201465,0.760952381,3,2,1,1,1,1,0,0,0,0.4,0.2
85,Wind,0.840201465,0.760952381,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333
85,Spek,0.840201465,0.760952381,3,2,0,2,1,1,2,0,1,0.666666667,0
86,Netz,0.669047619,0.504365079,3,2,2,3,0,2,0,0,0,0.166666667,0.166666667
86,Wind,0.669047619,0.504365079,3,0,1,1,1,0,0,0,0,0.2,0.4
86,Spek,0.669047619,0.504365079,2,3,2,2,0,0,0,1,1,0,0
87,Netz,0.901315789,0.682142857,3,3,3,3,3,3,2,3,2,0,0
87,Wind,0.901315789,0.682142857,3,1,2,2,2,2,0,2,0,0,0.25
87,Spek,0.901315789,0.682142857,2,3,3,2,2,2,1,0,0,0,0
88,Netz,0.662103175,0.502164502,3,3,3,3,2,2,1,2,1,0,0
